Fund_Name,Fund_Category,Period,Overall_Score,Star_Rating,Overall_Rank
Stanbic IBTC Income Fund,Fixed Income Funds,6-years,5,5,1
FBN Money Market Fund,Cash/Money Market Funds,6-years,4.6,5,1
United Capital Equity Fund,Large Cap Equity Funds,6-years,4.5,5,1
Stanbic IBTC Money Market Fund,Cash/Money Market Funds,6-years,4.5,4,4
ValuAlliance Money Market Fund,Cash/Money Market Funds,6-years,4.35,4,4
EDC Money Market Class B,Cash/Money Market Funds,6-years,4.15,4,4
ARM Aggressive Growth Fund,REITs and/or Infrastructure Funds,6-years,4,4,4
Zenith Income Fund,Fixed Income Funds,6-years,4,4,4
ARM Discovery Fund,REITs and/or Infrastructure Funds,6-years,4,4,4
Cordros Milestone Fune 2023,REITs and/or Infrastructure Funds,6-years,4,4,4
Nigeria Energy Sector Fund,REITs and/or Infrastructure Funds,6-years,4,4,4
Vantage Dollar Fund,REITs and/or Infrastructure Funds,6-years,4,4,4
Legacy USD Bond Fund,Fixed Income Funds,6-years,4,4,4
Cordros Money Market Fund,Cash/Money Market Funds,6-years,3.95,4,4
Abacus Money Market Fund,Cash/Money Market Funds,6-years,3.85,4,4
PACAM Money Market Fund,Cash/Money Market Funds,6-years,3.6,4,4
AXA Mansard Money Market Fund,Cash/Money Market Funds,6-years,3.55,4,4
Core Investment Money Market Fund,Cash/Money Market Funds,6-years,3.55,4,4
Coronation Money Market Fund,Cash/Money Market Funds,6-years,3.5,4,4
NOVA Prime Money Market Fund,Cash/Money Market Funds,6-years,3.5,4,4
United Capital Growthd Fund,REITs and/or Infrastructure Funds,6-years,3.5,4,4
Stanbic IBTC Dollar Fund,REITs and/or Infrastructure Funds,6-years,3.5,4,4
Women Investment Fund,REITs and/or Infrastructure Funds,6-years,3.5,4,4
Nigeria Eurobond Fund,Fixed Income Funds,6-years,3.5,4,4
Stanbic IBTC Money Market Fund**,Cash/Money Market Funds,6-years,2.25,2,25
AIICO Money Market Fund,Cash/Money Market Funds,6-years,2.25,2,25
AIICO money market fund,Cash/Money Market Funds,6-years,2.15,2,25
United Capital Money Market Fund,Cash/Money Market Funds,6-years,2.05,2,25
GDL Money Market Fund,Cash/Money Market Funds,6-years,2,2,25
ARM Money Market Fund,Cash/Money Market Funds,6-years,1.65,2,25
Coral Money Market Fund,Cash/Money Market Funds,6-years,1.55,2,25
Coral Growth Fund,REITs and/or Infrastructure Funds,6-years,3.85,4,25
Vantage Growthd Fund,REITs and/or Infrastructure Funds,6-years,3.6,4,25
Coral Income Fund,Fixed Income Funds,6-years,3.55,4,25
Coronation Fixed Income Fund,Fixed Income Funds,6-years,3.55,4,25
EDC Nigeria Fixed Income Fund,Fixed Income Funds,6-years,3.5,4,25
Lead Fixed Income Fund,Fixed Income Funds,6-years,3.5,4,25
Vantage Guaranteed Income Fund,Fixed Income Funds,6-years,3.5,4,25
Cordros Milestone Fune 2028,REITs and/or Infrastructure Funds,6-years,3.5,4,25
